BEGIN_DATE,BEGIN_TIME,END_DATE,END_TIME,EPISODE_ID,EVENT_ID,EVENT_TYPE,CZ_NAME,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,road_closures,power_outage,total_severity
20-JAN-16,10:00:00,20-JAN-16,16:00:00,103234,616897,Heavy Snow,"CAMPBELL, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,12:00:00,20-JAN-16,17:00:00,103234,616898,Heavy Snow,"HAMBLEN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,12:00:00,20-JAN-16,17:00:00,103234,616901,Heavy Snow,"JEFFERSON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,12:00:00,20-JAN-16,17:00:00,103234,616921,Heavy Snow,"JEFFERSON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,14:00:00,20-JAN-16,19:00:00,103234,616922,Heavy Snow,"WASHINGTON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,14:00:00,20-JAN-16,20:00:00,103234,616928,Heavy Snow,"UNICOI, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,13:00:00,20-JAN-16,19:00:00,103234,616936,Heavy Snow,"SULLIVAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
20-JAN-16,14:00:00,20-JAN-16,19:00:00,103234,616939,Heavy Snow,"WASHINGTON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,08:00:00,23-JAN-16,06:00:00,102472,612397,Heavy Snow,"CARTER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,04:00:00,23-JAN-16,13:00:00,102472,612399,Heavy Snow,"CLAIBORNE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,14:00:00,23-JAN-16,15:00:00,102472,612380,Heavy Snow,"BLEDSOE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,16:00:00,23-JAN-16,19:00:00,102472,612384,Heavy Snow,"BLOUNT, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,15:00:00,23-JAN-16,23:00:00,102472,612407,Heavy Snow,"COCKE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,13:00:00,23-JAN-16,14:00:00,102472,612410,Heavy Snow,"GRAINGER, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,11:00:00,23-JAN-16,18:00:00,102472,612411,Heavy Snow,"GREENE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,11:00:00,23-JAN-16,18:00:00,102472,612412,Heavy Snow,"GREENE, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,11:00:00,23-JAN-16,14:00:00,102472,612418,Heavy Snow,"HAWKINS, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,15:00:00,23-JAN-16,13:00:00,102472,612420,Heavy Snow,"JEFFERSON, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
22-JAN-16,04:00:00,23-JAN-16,13:00:00,102472,612425,Heavy Snow,"MORGAN, TENNESSEE",EST-5,0,0,0,0,0,0,,,,,False,False,0.2985967408173823
