county_state,year,population
"JACKSON COUNTY, TENNESSEE",2022,12019
"JACKSON COUNTY, TENNESSEE",2023,12355
"JACKSON COUNTY, TENNESSEE",2024,12447
"JACKSON COUNTY, TENNESSEE",2025,12466
"JEFFERSON COUNTY, TENNESSEE",2016,53148
"JEFFERSON COUNTY, TENNESSEE",2017,53730
"JEFFERSON COUNTY, TENNESSEE",2018,54012
"JEFFERSON COUNTY, TENNESSEE",2019,54495
"JEFFERSON COUNTY, TENNESSEE",2020,54897
"JEFFERSON COUNTY, TENNESSEE",2021,55535
"JEFFERSON COUNTY, TENNESSEE",2022,56695
"JEFFERSON COUNTY, TENNESSEE",2023,57849
"JEFFERSON COUNTY, TENNESSEE",2024,59217
"JEFFERSON COUNTY, TENNESSEE",2025,60024
"JOHNSON COUNTY, TENNESSEE",2016,17759
"JOHNSON COUNTY, TENNESSEE",2017,17603
"JOHNSON COUNTY, TENNESSEE",2018,17774
"JOHNSON COUNTY, TENNESSEE",2019,17788
"JOHNSON COUNTY, TENNESSEE",2020,17985
"JOHNSON COUNTY, TENNESSEE",2021,18042
"JOHNSON COUNTY, TENNESSEE",2022,18005
"JOHNSON COUNTY, TENNESSEE",2023,18325
"JOHNSON COUNTY, TENNESSEE",2024,18522
"JOHNSON COUNTY, TENNESSEE",2025,18718
"KNOX COUNTY, TENNESSEE",2016,456089
"KNOX COUNTY, TENNESSEE",2017,461565
"KNOX COUNTY, TENNESSEE",2018,466258
"KNOX COUNTY, TENNESSEE",2019,470313
"KNOX COUNTY, TENNESSEE",2020,480472
"KNOX COUNTY, TENNESSEE",2021,486009
"KNOX COUNTY, TENNESSEE",2022,495827
"KNOX COUNTY, TENNESSEE",2023,501589
"KNOX COUNTY, TENNESSEE",2024,507597
"KNOX COUNTY, TENNESSEE",2025,511453
"LAKE COUNTY, TENNESSEE",2016,7531
"LAKE COUNTY, TENNESSEE",2017,7451
"LAKE COUNTY, TENNESSEE",2018,7407
"LAKE COUNTY, TENNESSEE",2019,7016
"LAKE COUNTY, TENNESSEE",2020,6988
"LAKE COUNTY, TENNESSEE",2021,6569
"LAKE COUNTY, TENNESSEE",2022,6479
"LAKE COUNTY, TENNESSEE",2023,6385
"LAKE COUNTY, TENNESSEE",2024,6339
"LAKE COUNTY, TENNESSEE",2025,6249
"LAUDERDALE COUNTY, TENNESSEE",2016,25320
"LAUDERDALE COUNTY, TENNESSEE",2017,26093
"LAUDERDALE COUNTY, TENNESSEE",2018,25997
"LAUDERDALE COUNTY, TENNESSEE",2019,25633
"LAUDERDALE COUNTY, TENNESSEE",2020,25115
"LAUDERDALE COUNTY, TENNESSEE",2021,24860
"LAUDERDALE COUNTY, TENNESSEE",2022,24690
