YEARMONTH,EPISODE_ID,EVENT_ID,LOCATION_INDEX,RANGE,AZIMUTH,LOCATION,LATITUDE,LONGITUDE,LAT2,LON2
201612,111976,667751,2,2.49,WSW,MT HERMAN,36.1865,-88.7915,3611190,8847490
201612,111976,667752,1,8.0,SSW,PARIS,36.193,-88.3749,3611580,8822494
201612,111976,667752,2,2.37,W,NEW HOPE,36.2033,-88.2923,3612198,8817538
201612,111976,667753,1,3.0,W,MILLINGTON,35.35,-89.9532,3521000,8957192
201612,111976,667753,2,0.85,WNW,MILLINGTON,35.3544,-89.9142,3521264,8954852
201612,112355,669953,1,0.3,ESE,BLUE GOOSE,35.6989,-88.5749,3541934,8834494
201612,112355,669958,1,0.0,N,WILDERSVILLE,35.78,-88.37,3546800,8822200
201612,112355,669961,1,0.48,SSW,MC ILLWAIN,35.864,-88.0843,3551840,885058
201612,112576,671708,1,2.76,N,BIGBYVILLE,35.56,-87.08,3533600,874800
201612,112576,671706,1,0.67,S,CHESTNUT GROVE,36.4103,-86.9008,3624618,8654048
201612,112576,671701,1,0.56,E,CEDAR GROVE,35.95,-87.81,3557000,8748600
201612,112576,671702,1,1.67,W,DICKSON MUNI ARPT,36.13,-87.46,367800,8727600
201612,112576,671703,1,0.66,WSW,CHARLOTTE,36.1767,-87.3411,3610602,8720466
201612,112576,671705,1,1.6,S,CROSSROADS,35.0469,-87.7317,352814,8743902
201612,112576,671707,1,0.69,SSE,BROWN XRDS,35.0613,-87.3942,353678,8723652
201612,112568,671550,1,0.67,SE,DOVER,36.4734,-87.8211,3628404,8749266
201612,112568,671551,1,1.38,N,ERIN,36.34,-87.7,3620400,8742000
201612,112568,671552,1,1.49,SSE,CUMBERLAND CITY,36.38,-87.64,3622800,8738400
201612,112568,671553,1,2.44,ESE,CLARKSVILLE,36.5113,-87.3126,3630678,8718756
201612,112568,671554,1,0.0,N,CEDAR HILL,36.55,-87.0,3633000,8700
201612,112568,671557,1,0.4,WSW,CHARLOTTE,36.1785,-87.3369,3610710,8720214
201612,112568,671560,1,2.97,S,BERRY HILL,36.0771,-86.7731,364626,8646386
201612,112568,671566,1,0.94,W,GREEN HILL,36.2282,-86.5668,3613692,8634008
201612,111976,667748,1,11.0,N,DYERSBURG,36.1892,-89.38,3611352,8922800
201612,111976,667748,2,1.32,N,LOCUST GROVE,36.1989,-89.2735,3611934,8916410
201612,112568,671569,1,0.24,SE,GREENLAWN,36.2475,-86.5669,3614850,8634014
201612,112568,671571,1,0.75,SW,GREENLAWN,36.2411,-86.5778,3614466,8634668
201612,112568,671575,1,4.12,NNE,GREENLAWN,36.3069,-86.5479,3618414,8632874
201612,112568,671578,1,0.84,N,GREEN HILL,36.2422,-86.5516,3614532,8633096
201612,112568,671584,1,1.79,ENE,GREENLAWN,36.2634,-86.5424,3615804,8632544
201612,112568,671598,1,2.27,N,SILVER BOTTOM,36.2627,-86.5235,3615762,8631410
201612,112355,669926,1,2.68,NW,LENOW,35.2118,-89.777,3512708,8946620
201612,112355,669929,1,0.72,E,ARLINGTON MUNI ARPT,35.2805,-89.6572,3516830,8939432
201612,112355,669930,1,0.65,SE,JACKSON,35.6127,-88.8227,3536762,8849362
201612,112355,669936,1,0.95,ESE,JACKSON,35.6141,-88.8147,3536846,8848882
201612,112355,669936,2,1.65,E,JACKSON,35.6178,-88.8008,3537068,8848048
201612,112355,669949,1,1.33,SE,LAWRENCE,35.6371,-88.7824,3538226,8846944
201612,112568,671605,1,2.29,W,LAGUARDO,36.3,-86.4912,3618000,8629472
201612,112568,671606,1,0.58,S,LAGUARDO,36.2917,-86.4481,3617502,8626886
201612,112568,671607,1,6.04,N,MALLORYS,36.0374,-86.8012,362244,8648072
201612,112568,671608,1,1.31,ESE,DIXON SPGS,36.36,-86.05,3621600,863000
201612,112568,671609,1,0.33,E,PLEASANT SHADE,36.3804,-85.9441,3622824,8556646
201612,112568,671610,1,1.37,WNW,DIFFICULT,36.3801,-85.9012,3622806,8554072
201607,105825,635067,1,0.0,N,PEA RIDGE STORE,36.6,-85.43,3636000,8525800
201607,105825,635068,1,0.0,N,PORTLAND,36.58,-86.52,3634800,8631200
201607,105825,635069,1,0.84,WSW,COOKEVILLE,36.1638,-85.5129,369828,8530774
201607,105825,635201,1,1.38,S,GALLATIN,36.38,-86.45,3622800,8627000
201607,105825,635202,1,2.77,ENE,FAIRVIEW,36.0001,-87.0771,3606,874626
201607,105825,635293,1,0.0,N,PEYTONSVILLE,35.82,-86.78,3549200,8646800
201607,105825,635294,1,0.93,SE,GLENCLIFF,36.1106,-86.6881,366636,8641286
201607,105825,635295,1,0.94,SSW,WEST END HGTS,36.2068,-86.3238,3612408,8619428
201607,105825,652244,1,2.37,ENE,CALLE,35.8406,-86.8298,3550436,8649788
201607,106440,639000,1,0.14,ENE,TANGLEWOOD,36.2806,-85.9775,3616836,8558650
201607,106440,639002,1,0.91,WNW,RED HILL,35.4547,-86.065,3527282,863900
201607,106441,639117,1,0.0,N,ALLARDT,36.38,-84.88,3622800,8452800
201607,106441,639120,1,0.32,ENE,HOLLADAY,36.1525,-85.5252,369150,8531512
201607,106441,639120,2,1.52,NW,COOKEVILLE,36.1855,-85.5195,3611130,8531170
201607,106441,639120,3,0.97,SSE,COOKEVILLE ARPT,36.187,-85.4736,3611220,8528416
201607,106441,639120,4,1.7,SE,COOKEVILLE,36.1507,-85.4811,369042,8528866
201607,106441,639122,1,0.0,N,COOKEVILLE,36.17,-85.5,3610200,8530000
201607,105744,634864,1,0.0,N,NASHVILLE,36.17,-86.78,3610200,8646800
201607,105744,634865,1,0.81,NNE,LAGUARDO,36.3112,-86.4453,3618672,8626718
201607,105744,634942,1,1.76,ENE,THE HERMITAGE,36.2293,-86.5907,3613758,8635442
201607,105744,634942,2,0.4,SSE,COUCHVILLE,36.0944,-86.5485,365664,8632910
201607,105744,634942,3,3.26,SE,WRENCOE,35.9925,-86.6526,3559550,8639156
201607,105744,634942,4,1.02,N,BRENTWOOD,36.0447,-86.7797,362682,8646782
201607,105744,634942,5,1.65,NNE,LINTON,36.0534,-87.0138,363204,87828
201607,105744,634942,6,0.74,WNW,FOREST GROVE,36.3735,-86.8926,3622410,8653556
201607,105744,634942,7,2.57,WSW,IVY PT,36.3427,-86.8253,3620562,8649518
201607,105744,634942,8,0.69,SE,BAKERS,36.3722,-86.7623,3622332,8645738
201607,105744,634949,1,1.51,W,MILLERSVILLE,36.3743,-86.7266,3622458,8643596
201607,105744,635037,1,0.0,N,BRUSH CREEK,36.12,-86.03,367200,861800
201607,105744,635038,1,1.27,SSW,DALE HOLLOW,36.5321,-85.4552,3631926,8527312
201607,105825,635070,1,0.89,SE,COOKEVILLE,36.16,-85.49,369600,8529400
201607,105825,635071,1,0.0,N,MC MINNVILLE,35.68,-85.78,3540800,8546800
201607,105825,635135,1,0.0,N,BOOM,36.52,-85.17,3631200,8510200
201607,105825,635203,1,1.33,SW,LINTON,36.0158,-87.0361,36948,872166
201607,105825,635227,1,0.0,N,WAVERLY,36.08,-87.8,364800,8748000
201607,105825,635297,1,0.44,NNE,CORNERSVILLE,35.376,-86.8473,3522560,8650838
201607,105825,635298,1,0.79,SSE,WEST END HGTS,36.2096,-86.314,3612576,8618840
201607,105825,635300,1,0.97,NNE,LEBANON ARPT,36.1932,-86.3139,3611592,8618834
201607,106441,639125,1,0.0,N,FARMINGTON,35.5,-86.72,3530000,8643200
201607,106441,639126,1,0.0,N,FARMINGTON,35.5,-86.72,3530000,8643200
201607,106441,639129,1,1.66,ENE,COOKEVILLE,36.1766,-85.4713,3610596,8528278
201607,106442,639009,1,2.49,WNW,PULASKI,35.2122,-87.0615,3512732,873690
201607,106442,639009,2,0.81,WSW,PULASKI,35.1975,-87.034,3511850,872040
201607,106445,639154,1,0.0,N,SHELBYVILLE,35.48,-86.47,3528800,8628200
201607,106444,639156,1,1.55,SSE,RICHLAND,36.1289,-86.8706,367734,8652236
201607,106444,639156,2,0.91,NNE,RICHLAND,36.1628,-86.8765,369768,8652590
201607,105741,634280,1,0.87,NNW,WALLING,35.8119,-85.6051,3548714,8536306
201607,105741,649394,1,0.61,NW,SPARTA,35.9373,-85.4762,3556238,8528572
201607,105744,634866,1,0.0,N,CASTALIAN SPGS,36.4,-86.32,3624000,8619200
201607,105744,634869,1,0.59,NNW,TULIP GROVE,36.2071,-86.6057,3612426,8636342
201607,105744,634950,1,0.11,NW,GLENCLIFF,36.1212,-86.7014,367272,8642084
201607,105744,634952,1,2.76,W,LAGUARDO,36.3023,-86.4996,3618138,8629976
201607,105744,635039,1,0.0,N,CARTHAGE,36.25,-85.93,3615000,8555800
201607,105744,635041,1,3.3,NNW,ROME,36.3133,-86.0953,3618798,865718
201607,105825,635136,1,0.0,N,ALPINE,36.4,-85.22,3624000,8513200
201607,105825,635137,1,0.0,N,COOKEVILLE,36.17,-85.5,3610200,8530000
201607,105825,635138,1,0.0,N,QUEBECK,35.82,-85.57,3549200,8534200
201607,105825,635229,1,1.09,NNW,TWO CHESNUT,36.4647,-86.6273,3627882,8637638
201607,105825,635233,1,0.0,N,LYLES,35.92,-87.37,3555200,8722200
201607,105825,635236,1,0.0,N,GALLATIN,36.4,-86.45,3624000,8627000
201607,105825,635302,1,0.72,N,MALLORYS,35.9604,-86.7989,3557624,8647934
201607,105825,635305,1,0.0,N,SPRING HILL,35.75,-86.93,3545000,8655800
201607,105825,635306,1,0.0,N,LAFAYETTE,36.52,-86.03,3631200,861800
201607,108943,652609,1,0.58,W,DEFEATED,36.3199,-85.9105,3619194,8554630
201607,106443,639135,1,5.13,NNE,MALLORYS,36.0181,-86.7633,361086,8645798
201607,106443,639135,2,4.16,NNE,MALLORYS,36.0084,-86.7814,36504,8646884
201607,106443,639139,1,2.57,WSW,LAGUARDO,36.2849,-86.4922,3617094,8629532
201607,106443,639140,1,0.08,N,BRUSH CREEK,36.1211,-86.0298,367266,861788
201607,106440,638983,1,0.0,N,ADAMS,36.58,-87.07,3634800,874200
201607,105741,634281,1,0.0,N,CROSSVILLE,35.95,-85.03,3557000,851800
201607,105741,634282,1,0.25,NW,(CSV)CROSSVILLE MEM,35.952,-85.0837,3557120,855022
201607,105742,634283,1,0.0,N,SPRINGFIELD,36.5,-86.88,3630000,8652800
201607,105742,634284,1,1.87,SSW,GREENLAWN,36.2261,-86.586,3613566,8635160
201607,105742,634285,1,1.37,NNE,TULIP GROVE,36.2175,-86.5884,3613050,8635304
201607,105742,634287,1,2.58,NNE,SILVER BOTTOM,36.2612,-86.4946,3615672,8629676
201607,105742,634288,1,1.2,NE,TEMPLOW,36.4414,-86.2137,3626484,8612822
201607,105744,634872,1,0.0,N,HARTSVILLE,36.4,-86.17,3624000,8610200
201607,105744,634877,1,1.45,NNW,BERRY HILL,36.1382,-86.7831,368292,8646986
201607,105744,634954,1,0.98,N,CAIRO BEND,36.2439,-86.3966,3614634,8623796
